Species,project,Class,Order,K,Lm,QB,Troph,DepthMax,TempPrefMean,Generation_time,RepGuildCombined,BodyShapIII_combined,PositionWaterColumn,SwimMode,Notes
Calamus penna,BRUV,Actinopterygii,Perciformes,0.550000012,21.69795,8.3,4.35,87,26.4,1.479507,nonguarders,short_and_or_deep,reef_associated,subcarangiform,
Scarus iseri,BRUV,Actinopterygii,Perciformes,1.235000014,7.605555,25.4,2,25,27.4,0.9176521,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Stegastes leucostictus,BRUV,Actinopterygii,Perciformes,0.680000007,7,52.4,3.09,10,27.5,1.664696,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform,
Scomberomorus regalis,BRUV,Actinopterygii,Perciformes,0.170000002,91.4,3.8,4.51,20,27.3,5.780287,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,thunniform,
Stegastes planifrons,BRUV,Actinopterygii,Perciformes,0.579999983,9.262429,46.7,3.27,30,27.4,1.895472,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform,
Sparisoma rubripinne,BRUV,Actinopterygii,Perciformes,0.583999991,28.30032,18.1,2,15,27.5,1.449696,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Scorpaena plumieri,BRUV,Actinopterygii,Scorpaeniformes,0.129999995,26.5,4.6,3.56,60,25.6,6.369375,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,subcarangiform,
Scarus taeniopterus,BRUV,Actinopterygii,Perciformes,0.579999983,21.2,20.2,2.02,25,27.4,1.40924,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Sparisoma viride,BRUV,Actinopterygii,Perciformes,0.449999988,25.03836,18.1,2,50,27.2,1.844894,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,labriform,
Acanthostracion quadricornis,BRUV,Actinopterygii,Tetraodontiformes,0.323987501,31.6,4.4,2.68,80,25.4,2.94029412,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,ostraciiform,
Stegastes xanthurus,BRUV,Actinopterygii,Perciformes,0.529999971,0.9,132.94305,2.54,40.28,24.64292143,2.999302,guarders,short_and_or_deep_compressed,reef_associated,labriform,
Synodus intermedius,BRUV,Actinopterygii,Aulopiformes,0.389999986,27,4.8,4.21,320,23.2,2.153884,nonguarders_open_water_substratum_egg_scatterers,elongated_circular,reef_associated,carangiform,
Thalassoma bifasciatum,BRUV,Actinopterygii,Perciformes,0.75,10.63759,12.8,3.3,40,26.8,1.443449,mixed,fusiform_normal,reef_associated,labriform,
Hypoplectrus randallorum,BRUV,Actinopterygii,Perciformes,0.980000019,5.8,45.9,3.69,72.2075,26.20453788,1.208597,nonguarders,short_and_or_deep,reef_associated,subcarangiform,
Haemulon aurolineatum,BRUV,Actinopterygii,Perciformes,0.209999993,19.04896,7.460000038,3.46,30,27.2,3.770083,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Haemulon album,BRUV,Actinopterygii,Perciformes,0.200000003,40.24052,5.6,3.32,60,25,4.420828,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Halochoeres,BRUV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Echeneis neucratoides,BRUV,Actinopterygii,Perciformes,0.246209999,41.5,3.6,3.57,100,25.6,3.71781578,nonguarders,fusiform_normal,reef_associated,subcarangiform,
Hypoplectrus aberrans,BRUV,Actinopterygii,Perciformes,0.75999999,8.8,15.6,3.6,15,27.6,1.454359,nonguarders,short_and_or_deep,reef_associated,subcarangiform,
Hypoplectrus chlorurus,BRUV,Actinopterygii,Perciformes,0.769999981,8.6,15.8,3.8,23,27.4,1.429788,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,subcarangiform,
Gerres cinereus,BRUV,Actinopterygii,Perciformes,0.649999976,20.57685,8.1,3.47,15,27.3,1.243337,nonguarders,fusiform_normal,reef_associated,carangiform,
Halichoeres cyanocephalus,BRUV,Actinopterygii,Perciformes,0.280000001,18.5,9.4,3.59,91,25.4,2.827079,mixed,fusiform_normal,reef_associated,labriform,
Hypanus americanus,BRUV,Elasmobranchii,Myliobatiformes,0.1,98.8,1.6,3.51,53,27.3,9.988211,bearers_internal_live_bearers,other,reef_associated,rajiform,
Gymnothorax funebris,BRUV,Actinopterygii,Anguilliformes,0.050000001,120.4,3.4,4.01,50,26,20.27041,nonguarders_open_water_substratum_egg_scatterers,eel_like,reef_associated,anguilliform,
