Species,project,Class,Order,K,Lm,QB,Troph,DepthMax,TempPrefMean,Generation_time,RepGuildCombined,BodyShapIII_combined,PositionWaterColumn,SwimMode,Notes
Paralichthys dentatus,HERS,Actinopterygii,Pleuronectiformes,0.215000004,45.56442,4.7,4.49,183,19.1,4.18495,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,anguilliform,
Paralichthys lethostigma,HERS,Actinopterygii,Pleuronectiformes,0.234999999,40.81977,4.5,3.48,43,23.9,3.773278,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,demersal,anguilliform,
Peprilus burti,HERS,Actinopterygii,Perciformes,1.99000001,12.97029,11,4,275,18.1,0.4556094,nonguarders,short_and_or_deep,benthopelagic,carangiform,
Pogonias cromis,HERS,Actinopterygii,Perciformes,0.200000003,84.10913,3.2,3.38,50,23.5,4.873363,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,demersal,labriform,
Prionotus carolinus,HERS,Actinopterygii,Scorpaeniformes,0.300000012,18.19209,5.6,3.68,170,18.9,2.743016,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,demersal,tetraodontiform,
Prionotus scitulus,HERS,Actinopterygii,Scorpaeniformes,0.340000004,15.7,6.9,3.39,45,24.1,2.275827,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,demersal,tetraodontiform,
Prionotus tribulus,HERS,Actinopterygii,Scorpaeniformes,0.25,21.2,5,3.66,183,24.1,3.242638,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,demersal,tetraodontiform,
Sphoeroides maculatus,HERS,Actinopterygii,Tetraodontiformes,0.606999993,16.75806,6,4.04,183,9.3,1.524162,guarders,short_and_or_deep,demersal,tetraodontiform,
Spheoroides nephelus,HERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Spheoroides parvus,HERS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Stellifer lanceolatus,HERS,Actinopterygii,Perciformes,0.79,12.9,0,3.5,20,23.9,1.370533,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,demersal,labriform,
Stephanolepis hispidus,HERS,Actinopterygii,Tetraodontiformes,0.400000006,15.68681,15.8,2.56,293,21.1,2.022447,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,balistiform,
Symphurus plagiusa,HERS,Actinopterygii,Pleuronectiformes,0.319999993,11.81049,7.6,3.2,183,24.4,3.321797,nonguarders,short_and_or_deep,demersal,anguilliform,
Syngnathus fuscus,HERS,Actinopterygii,Syngnathiformes,0.569999993,20.1,5.9,3.34,366,4.9,1.415513,bearers_external_brooders,eel_like,demersal,amiiform,
Syngnathus scovelli,HERS,Actinopterygii,Syngnathiformes,0.810000002,11.9,12.7,3.34,6,27.2,1.318651,bearers_external_brooders,eel_like,demersal,amiiform,
Synodus foetens,HERS,Actinopterygii,Aulopiformes,0.340000004,28.2,7.7,4.42,200,24.8,2.49024,nonguarders_open_water_substratum_egg_scatterers,elongated_circular,reef_associated,carangiform,
Trichiurus lepturus,HERS,Actinopterygii,Perciformes,0.25,75.61732,3.2,4.42,589,15.2,4.634745,nonguarders_open_water_substratum_egg_scatterers,eel_like_compressed,benthopelagic,amiiform,
Trinectes maculatus,HERS,Actinopterygii,Pleuronectiformes,0.194999993,12.80535,9.5,3.36,75,17.2,5.381465,nonguarders,short_and_or_deep,demersal,anguilliform,
Acanthurus chirurgus,BRUV,Actinopterygii,Perciformes,0.704999983,12.30906,30.1,2.09,25,27.4,1.50818,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform,
Aulostomus maculatus,BRUV,Actinopterygii,Syngnathiformes,0.264679167,53.5,4.1,4.26,25,27.4,3.663871315,nonguarders_open_water_substratum_egg_scatterers,elongated,reef_associated,balistiform,
Abudefduf saxatilis,BRUV,Actinopterygii,Perciformes,0.319999993,14.6,26.5,3.82,20,27.3,2.392194,guarders_nesters,short_and_or_deep,reef_associated,labriform,
Acanthurus tractus,BRUV,Actinopterygii,Perciformes,1.06099999,10.97414,29.7,2,45,26.6,1.018777,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,labriform,
Azurina cyanea,BRUV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Stegastes partitus,BRUV,Actinopterygii,Perciformes,0.680000007,7,37.5,2,100,26.9,1.664696,guarders_nesters,fusiform_normal_compressed,reef_associated,labriform,
Hypoplectrus puella,BRUV,Actinopterygii,Perciformes,0.649999976,10.2,14.1,3.65,23,27.4,1.680668,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,subcarangiform,
Haemulon bonariense,BRUV,Actinopterygii,Perciformes,0.182999998,26.30298,7.5,3.54,50,25.95547857,4.542097,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Caranx ruber,BRUV,Actinopterygii,Perciformes,0.143000007,37.91386,10.60000038,4.28,35,26.8,6.119787,nonguarders,fusiform_normal,reef_associated,carangiform,
Bothus lunatus,BRUV,Actinopterygii,Pleuronectiformes,0.140000001,27,6.3,4.45,100,27.3,5.95082,nonguarders,short_and_or_deep,reef_associated,anguilliform,
Bothus ocellatus,BRUV,Actinopterygii,Pleuronectiformes,0.340000004,11.8,12.8,3.78,110,27.3,3.150118,nonguarders,short_and_or_deep,reef_associated,anguilliform,
Scarus coeruleus,BRUV,Actinopterygii,Perciformes,0.324999988,33.7528,16,2,25,27.4,2.661767,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Bodianus rufus,BRUV,Actinopterygii,Perciformes,0.219999999,23.8,7.1,3.71,70,26.7,3.740184,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,labriform,
Centropristis ocyurus,BRUV,Actinopterygii,Perciformes,0.349999994,18.5,5.3,3.52,101,24.8,2.263663,nonguarders,fusiform_normal,demersal,subcarangiform,
Acanthurus coeruleus,BRUV,Actinopterygii,Perciformes,0.112000003,23.31224,18.8,2,40,27.4,7.261052,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep,reef_associated,labriform,
Balistes vetula,BRUV,Actinopterygii,Tetraodontiformes,0.300000012,29.29801,6.3,3.82,275,25.9,2.824275,guarders_nesters,short_and_or_deep,reef_associated,balistiform,
Halichoeres poeyi,BRUV,Actinopterygii,Perciformes,0.409999996,12.9,11.7,3.67,15,27.4,2.56688,mixed,fusiform_normal,reef_associated,labriform,
Caranx crysos,BRUV,Actinopterygii,Perciformes,0.379999995,23.14358,6.6,4.13,100,24.9,2.156698,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,reef_associated,carangiform,
Cephalopholis fulva,BRUV,Actinopterygii,Perciformes,0.200000003,16.70469,8.4,4.05,150,27,3.874166,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,subcarangiform,
Canthigaster jamestyleri,BRUV,Actinopterygii,Tetraodontiformes,1.470000029,6.1,13.3,3.07,100,20.8,0.8005742,guarders,short_and_or_deep,reef_associated,tetraodontiform,
Azurina multilineata,BRUV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Chaetodon ocellatus,BRUV,Actinopterygii,Perciformes,0.899999976,12.9,9.6,3.7,30,27.2,1.169801,nonguarders,short_and_or_deep_compressed,reef_associated,balistiform,
Calamus pennatula,BRUV,Actinopterygii,Perciformes,0.219999999,22.3,6.3,3.72,85,27.3,3.689964,nonguarders,short_and_or_deep,reef_associated,subcarangiform,
Canthigaster rostrata,BRUV,Actinopterygii,Tetraodontiformes,1.289999962,8.2,55.6,3.28,40,26.4,0.8663341,guarders_nesters,short_and_or_deep,reef_associated,tetraodontiform,
Chaetodon striatus,BRUV,Actinopterygii,Perciformes,1.110000014,10.6,10.8,3.53,55,27.2,0.9781496,nonguarders_open_water_substratum_egg_scatterers,short_and_or_deep_compressed,reef_associated,balistiform,
Halichoeres maculipinna,BRUV,Actinopterygii,Perciformes,0.449999988,11.8,11,3.29,24,27.4,2.385645,mixed,fusiform_normal,reef_associated,labriform,
Stegastes adustus,BRUV,Actinopterygii,Perciformes,0.469999999,10,35.8,2.49,3,27.5,2.31138,guarders_nesters,short_and_or_deep_compressed,reef_associated,labriform,
Ctenogobius saepepallens,BRUV,Actinopterygii,Perciformes,1.450000048,3.8,94.3,3.35,40,27,0.8672947,guarders,elongated,reef_associated,diodontiform,
Diodon hystrix,BRUV,Actinopterygii,Tetraodontiformes,0.338880001,49.3,2.9,4.01,50,27.4,3.0954371,nonguarders,short_and_or_deep,reef_associated,diodontiform,
Decapterus macarellus,BRUV,Actinopterygii,Perciformes,1.799999952,14.66137,8.6,3.96,400,21.9,0.5440881,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,pelagic_oceanic,carangiform,
Neoniphon vexillarium,BRUV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Epinephelus adscensionis,BRUV,Actinopterygii,Perciformes,0.370000005,21.64612,7.1,3.53,120,27.3,2.192198,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal,demersal,subcarangiform,
Epinephelus guttatus,BRUV,Actinopterygii,Perciformes,0.119000003,31.42714,2.769999981,3.84,140.4009211,24.788,7.150506,nonguarders_open_water_substratum_egg_scatterers,fusiform_normal_oval,reef_associated,subcarangiform,
Echeneis naucrates,BRUV,Actinopterygii,Perciformes,0.206664166,58.3,3.4,3.68,85,27.2,4.86774799,nonguarders,elongated,reef_associated,subcarangiform,
